control_id,control_name,control_type,calculated_value,threshold,threshold_operator,status,breach_amount,details
CASH_MIN_001,Minimum Cash Buffer,liquidity,3.60,2.00,gte,pass,,"{""cash_mv"": 72000000, ""nav"": 2000000000}"
CASH_MAX_001,Maximum Cash Check,liquidity,3.60,15.00,lte,pass,,"{""cash_mv"": 72000000, ""nav"": 2000000000, ""within_optimal_range"": true}"
VAR_99_1D,Value-at-Risk (99% 1-day),risk,2.85,3.00,lte,pass,,"{""methodology"": ""historical_simulation"", ""lookback_years"": 2, ""confidence"": 0.99, ""var_amount"": 57000000}"
STRESS_GFC,Stress Test - 2008 GFC Scenario,risk,11.20,15.00,lte,pass,,"{""scenario"": ""2008_GFC"", ""potential_loss"": 224000000}"
STRESS_COVID,Stress Test - COVID-19 Scenario,risk,9.80,15.00,lte,pass,,"{""scenario"": ""COVID-19"", ""potential_loss"": 196000000}"
STRESS_RATES,Stress Test - Rising Rates Scenario,risk,6.50,15.00,lte,pass,,"{""scenario"": ""rising_rates_300bp"", ""potential_loss"": 130000000}"
NAV_RECON_001,NAV Reconciliation - Internal vs Administrator,reconciliation,0.03,0.10,lte,pass,,"{""internal_nav"": 2000000000, ""admin_nav"": 2000600000, ""difference_bps"": 3}"
CPTY_PRIME_GS,Prime Broker Exposure - Goldman Sachs,counterparty,32.50,50.00,lte,pass,,"{""prime"": ""Goldman Sachs"", ""exposure_mv"": 650000000}"
CPTY_PRIME_MS,Prime Broker Exposure - Morgan Stanley,counterparty,28.00,50.00,lte,pass,,"{""prime"": ""Morgan Stanley"", ""exposure_mv"": 560000000}"
CPTY_PRIME_MIN,Minimum Prime Brokers,counterparty,2.00,2.00,gte,pass,,"{""active_primes"": [""Goldman Sachs"", ""Morgan Stanley""]}"
